;Winner;Turns;Win_rate
0;Bernhard;79;1.0
1;Magdalena;13;0.5
2;Magdalena;26;0.3333333333333333
3;Bernhard;62;0.5
4;Bernhard;27;0.6
5;Magdalena;17;0.5
6;Magdalena;70;0.42857142857142855
7;Magdalena;29;0.375
8;Bernhard;11;0.4444444444444444
9;Magdalena;11;0.4
10;Bernhard;15;0.45454545454545453
11;Magdalena;25;0.4166666666666667
12;Bernhard;13;0.46153846153846156
13;Magdalena;15;0.42857142857142855
14;Bernhard;17;0.4666666666666667
15;Bernhard;38;0.5
16;Bernhard;15;0.5294117647058824
17;Magdalena;47;0.5
18;Magdalena;18;0.47368421052631576
19;Magdalena;125;0.45
20;Bernhard;23;0.47619047619047616
21;Magdalena;89;0.45454545454545453
22;Bernhard;27;0.4782608695652174
23;Magdalena;15;0.4583333333333333
24;Bernhard;19;0.48
25;Magdalena;51;0.46153846153846156
26;Bernhard;63;0.48148148148148145
27;Magdalena;55;0.4642857142857143
28;Magdalena;50;0.4482758620689655
29;Magdalena;23;0.43333333333333335
30;Magdalena;24;0.41935483870967744
31;Magdalena;23;0.40625
32;Magdalena;18;0.3939393939393939
33;Magdalena;45;0.38235294117647056
34;Magdalena;26;0.37142857142857144
35;Magdalena;49;0.3611111111111111
36;Magdalena;16;0.35135135135135137
37;Bernhard;58;0.3684210526315789
38;Bernhard;67;0.38461538461538464
39;Magdalena;67;0.375
40;Bernhard;67;0.3902439024390244
41;Bernhard;14;0.40476190476190477
42;Bernhard;25;0.4186046511627907
43;Magdalena;53;0.4090909090909091
44;Bernhard;25;0.4222222222222222
45;Magdalena;39;0.41304347826086957
46;Bernhard;49;0.425531914893617
47;Magdalena;19;0.4166666666666667
48;Bernhard;43;0.42857142857142855
49;Magdalena;79;0.42
50;Bernhard;47;0.43137254901960786
51;Magdalena;65;0.4230769230769231
52;Bernhard;19;0.4339622641509434
53;Magdalena;71;0.42592592592592593
54;Magdalena;86;0.41818181818181815
55;Magdalena;17;0.4107142857142857
56;Magdalena;46;0.40350877192982454
57;Bernhard;26;0.41379310344827586
58;Bernhard;11;0.423728813559322
59;Magdalena;129;0.4166666666666667
60;Bernhard;27;0.4262295081967213
61;Magdalena;25;0.41935483870967744
62;Bernhard;37;0.42857142857142855
63;Magdalena;45;0.421875
64;Bernhard;29;0.4307692307692308
65;Magdalena;33;0.42424242424242425
66;Bernhard;33;0.43283582089552236
67;Bernhard;48;0.4411764705882353
68;Bernhard;33;0.4492753623188406
69;Bernhard;40;0.45714285714285713
70;Magdalena;34;0.4507042253521127
71;Bernhard;20;0.4583333333333333
72;Bernhard;39;0.4657534246575342
73;Bernhard;18;0.47297297297297297
74;Magdalena;14;0.4666666666666667
75;Bernhard;12;0.47368421052631576
76;Magdalena;14;0.4675324675324675
77;Magdalena;13;0.46153846153846156
78;Magdalena;42;0.45569620253164556
79;Bernhard;52;0.4625
80;Bernhard;17;0.4691358024691358
81;Magdalena;17;0.4634146341463415
82;Bernhard;15;0.46987951807228917
83;Bernhard;24;0.47619047619047616
84;Magdalena;44;0.47058823529411764
85;Bernhard;28;0.47674418604651164
86;Bernhard;67;0.4827586206896552
87;Bernhard;56;0.48863636363636365
88;Bernhard;46;0.4943820224719101
89;Bernhard;48;0.5
90;Bernhard;13;0.5054945054945055
91;Magdalena;65;0.5
92;Magdalena;30;0.4946236559139785
93;Magdalena;57;0.48936170212765956
94;Bernhard;25;0.49473684210526314
95;Bernhard;54;0.5
96;Bernhard;19;0.5051546391752577
97;Magdalena;113;0.5
98;Magdalena;38;0.494949494949495
99;Bernhard;24;0.5
100;Magdalena;56;0.49504950495049505
101;Bernhard;12;0.5
102;Bernhard;15;0.5048543689320388
103;Bernhard;42;0.5096153846153846
104;Bernhard;27;0.5142857142857142
105;Bernhard;22;0.5188679245283019
106;Bernhard;17;0.5233644859813084
107;Bernhard;14;0.5277777777777778
108;Magdalena;14;0.5229357798165137
109;Magdalena;25;0.5181818181818182
110;Bernhard;15;0.5225225225225225
111;Magdalena;31;0.5178571428571429
112;Bernhard;61;0.5221238938053098
113;Bernhard;70;0.5263157894736842
114;Bernhard;47;0.5304347826086957
115;Bernhard;26;0.5344827586206896
116;Bernhard;47;0.5384615384615384
117;Bernhard;48;0.5423728813559322
118;Magdalena;18;0.5378151260504201
119;Magdalena;29;0.5333333333333333
120;Magdalena;52;0.5289256198347108
121;Bernhard;54;0.5327868852459017
122;Magdalena;50;0.5284552845528455
123;Bernhard;40;0.532258064516129
124;Magdalena;46;0.528
125;Magdalena;43;0.5238095238095238
126;Bernhard;91;0.5275590551181102
127;Magdalena;35;0.5234375
128;Bernhard;33;0.5271317829457365
129;Magdalena;45;0.5230769230769231
130;Magdalena;42;0.5190839694656488
131;Bernhard;30;0.5227272727272727
132;Magdalena;26;0.518796992481203
133;Magdalena;11;0.5149253731343284
134;Magdalena;18;0.5111111111111111
135;Magdalena;25;0.5073529411764706
136;Bernhard;53;0.5109489051094891
137;Bernhard;26;0.5144927536231884
138;Magdalena;30;0.5107913669064749
139;Bernhard;42;0.5142857142857142
140;Bernhard;77;0.5177304964539007
141;Magdalena;61;0.5140845070422535
142;Magdalena;30;0.5104895104895105
143;Magdalena;28;0.5069444444444444
144;Bernhard;67;0.5103448275862069
145;Magdalena;13;0.5068493150684932
146;Magdalena;24;0.5034013605442177
147;Bernhard;22;0.5067567567567568
148;Magdalena;22;0.5033557046979866
149;Magdalena;15;0.5
150;Magdalena;62;0.4966887417218543
151;Bernhard;50;0.5
152;Bernhard;59;0.5032679738562091
153;Magdalena;77;0.5
154;Bernhard;59;0.5032258064516129
155;Bernhard;62;0.5064102564102564
156;Magdalena;40;0.5031847133757962
157;Magdalena;43;0.5
158;Magdalena;34;0.4968553459119497
159;Bernhard;16;0.5
160;Magdalena;30;0.4968944099378882
161;Bernhard;44;0.5
162;Bernhard;39;0.5030674846625767
163;Bernhard;38;0.5060975609756098
164;Bernhard;17;0.509090909090909
165;Bernhard;44;0.5120481927710844
166;Bernhard;95;0.5149700598802395
167;Bernhard;16;0.5178571428571429
168;Magdalena;20;0.514792899408284
169;Bernhard;56;0.5176470588235295
170;Magdalena;12;0.5146198830409356
171;Bernhard;92;0.5174418604651163
172;Magdalena;36;0.5144508670520231
173;Magdalena;79;0.5114942528735632
174;Bernhard;25;0.5142857142857142
175;Bernhard;38;0.5170454545454546
176;Magdalena;32;0.5141242937853108
177;Bernhard;22;0.5168539325842697
178;Magdalena;48;0.5139664804469274
179;Bernhard;104;0.5166666666666667
180;Magdalena;102;0.5138121546961326
181;Magdalena;75;0.510989010989011
182;Bernhard;17;0.5136612021857924
183;Bernhard;24;0.5163043478260869
184;Bernhard;49;0.518918918918919
185;Magdalena;49;0.5161290322580645
186;Bernhard;37;0.5187165775401069
187;Magdalena;51;0.5159574468085106
188;Bernhard;25;0.5185185185185185
189;Bernhard;98;0.5210526315789473
190;Magdalena;14;0.518324607329843
191;Magdalena;19;0.515625
192;Bernhard;55;0.5181347150259067
193;Magdalena;95;0.5154639175257731
194;Bernhard;71;0.517948717948718
195;Bernhard;32;0.5204081632653061
196;Magdalena;30;0.5177664974619289
197;Bernhard;40;0.5202020202020202
198;Magdalena;44;0.5175879396984925
199;Magdalena;15;0.515
200;Bernhard;69;0.5174129353233831
201;Bernhard;34;0.5198019801980198
202;Bernhard;33;0.5221674876847291
203;Bernhard;30;0.5245098039215687
204;Bernhard;39;0.526829268292683
205;Bernhard;22;0.529126213592233
206;Bernhard;21;0.5314009661835749
207;Bernhard;26;0.5336538461538461
208;Magdalena;24;0.5311004784688995
209;Bernhard;28;0.5333333333333333
210;Bernhard;51;0.5355450236966824
211;Bernhard;64;0.5377358490566038
212;Magdalena;30;0.5352112676056338
213;Bernhard;56;0.5373831775700935
214;Magdalena;14;0.5348837209302325
215;Magdalena;29;0.5324074074074074
216;Bernhard;51;0.5345622119815668
217;Bernhard;26;0.536697247706422
218;Bernhard;21;0.5388127853881278
219;Bernhard;60;0.5409090909090909
220;Bernhard;13;0.5429864253393665
221;Bernhard;34;0.545045045045045
222;Bernhard;17;0.547085201793722
223;Magdalena;35;0.5446428571428571
224;Bernhard;15;0.5466666666666666
225;Bernhard;42;0.5486725663716814
226;Bernhard;15;0.5506607929515418
227;Bernhard;42;0.5526315789473685
228;Bernhard;259;0.5545851528384279
229;Bernhard;84;0.5565217391304348
230;Magdalena;102;0.5541125541125541
231;Magdalena;39;0.5517241379310345
232;Bernhard;27;0.5536480686695279
233;Bernhard;54;0.5555555555555556
234;Magdalena;16;0.5531914893617021
235;Magdalena;33;0.5508474576271186
236;Bernhard;45;0.5527426160337553
237;Magdalena;27;0.5504201680672269
238;Magdalena;68;0.5481171548117155
239;Bernhard;12;0.55
240;Magdalena;108;0.5477178423236515
241;Magdalena;21;0.5454545454545454
242;Magdalena;42;0.5432098765432098
243;Magdalena;15;0.5409836065573771
244;Magdalena;76;0.5387755102040817
245;Magdalena;35;0.5365853658536586
246;Bernhard;15;0.5384615384615384
247;Bernhard;18;0.5403225806451613
248;Bernhard;43;0.5421686746987951
249;Bernhard;16;0.544
250;Magdalena;50;0.5418326693227091
251;Magdalena;53;0.5396825396825397
252;Bernhard;13;0.541501976284585
253;Magdalena;35;0.5393700787401575
254;Magdalena;28;0.5372549019607843
255;Magdalena;31;0.53515625
256;Bernhard;55;0.5369649805447471
257;Bernhard;22;0.5387596899224806
258;Magdalena;12;0.5366795366795367
259;Bernhard;18;0.5384615384615384
260;Magdalena;102;0.5363984674329502
261;Bernhard;22;0.5381679389312977
262;Bernhard;67;0.5399239543726235
263;Magdalena;93;0.5378787878787878
264;Bernhard;41;0.539622641509434
265;Magdalena;35;0.5375939849624061
266;Bernhard;21;0.5393258426966292
267;Bernhard;40;0.5410447761194029
268;Magdalena;36;0.5390334572490706
269;Bernhard;28;0.5407407407407407
270;Magdalena;64;0.5387453874538746
271;Bernhard;42;0.5404411764705882
272;Magdalena;40;0.5384615384615384
273;Bernhard;16;0.5401459854014599
274;Magdalena;132;0.5381818181818182
275;Bernhard;110;0.5398550724637681
276;Magdalena;12;0.5379061371841155
277;Bernhard;28;0.539568345323741
278;Magdalena;32;0.5376344086021505
279;Bernhard;54;0.5392857142857143
280;Bernhard;17;0.5409252669039146
281;Magdalena;67;0.5390070921985816
282;Magdalena;38;0.5371024734982333
283;Magdalena;33;0.5352112676056338
284;Bernhard;55;0.5368421052631579
285;Magdalena;13;0.534965034965035
286;Magdalena;34;0.5331010452961672
287;Bernhard;22;0.5347222222222222
288;Bernhard;21;0.5363321799307958
289;Bernhard;16;0.5379310344827586
290;Magdalena;22;0.5360824742268041
291;Bernhard;28;0.5376712328767124
292;Magdalena;36;0.5358361774744027
293;Bernhard;68;0.5374149659863946
294;Bernhard;29;0.5389830508474577
295;Magdalena;31;0.5371621621621622
296;Bernhard;53;0.5387205387205387
297;Bernhard;26;0.540268456375839
298;Magdalena;20;0.5384615384615384
299;Bernhard;100;0.54
300;Magdalena;20;0.5382059800664452
301;Magdalena;35;0.5364238410596026
302;Bernhard;47;0.5379537953795379
303;Magdalena;23;0.5361842105263158
304;Bernhard;41;0.5377049180327869
305;Bernhard;114;0.5392156862745098
306;Bernhard;33;0.5407166123778502
307;Bernhard;14;0.5422077922077922
308;Magdalena;14;0.540453074433657
309;Magdalena;27;0.5387096774193548
310;Bernhard;43;0.5401929260450161
311;Magdalena;45;0.5384615384615384
312;Magdalena;58;0.536741214057508
313;Bernhard;64;0.5382165605095541
314;Magdalena;30;0.5365079365079365
315;Magdalena;39;0.5348101265822784
316;Magdalena;44;0.5331230283911672
317;Magdalena;21;0.5314465408805031
318;Bernhard;17;0.5329153605015674
319;Magdalena;39;0.53125
320;Magdalena;20;0.5295950155763239
321;Magdalena;71;0.5279503105590062
322;Magdalena;92;0.5263157894736842
323;Magdalena;19;0.5246913580246914
324;Magdalena;12;0.5230769230769231
325;Bernhard;30;0.5245398773006135
326;Magdalena;48;0.5229357798165137
327;Bernhard;16;0.524390243902439
328;Bernhard;13;0.5258358662613982
329;Bernhard;14;0.5272727272727272
330;Magdalena;14;0.525679758308157
331;Magdalena;55;0.5240963855421686
332;Magdalena;42;0.5225225225225225
333;Magdalena;99;0.5209580838323353
334;Bernhard;13;0.5223880597014925
335;Bernhard;44;0.5238095238095238
336;Bernhard;31;0.5252225519287834
337;Magdalena;49;0.5236686390532544
338;Bernhard;13;0.5250737463126843
339;Bernhard;26;0.5264705882352941
340;Bernhard;61;0.5278592375366569
341;Bernhard;44;0.5292397660818714
342;Magdalena;58;0.5276967930029155
343;Bernhard;94;0.5290697674418605
344;Bernhard;47;0.5304347826086957
345;Magdalena;35;0.5289017341040463
346;Bernhard;181;0.5302593659942363
347;Magdalena;29;0.5287356321839081
348;Magdalena;20;0.5272206303724928
349;Magdalena;13;0.5257142857142857
350;Bernhard;45;0.5270655270655271
351;Magdalena;21;0.5255681818181818
352;Magdalena;138;0.5240793201133145
353;Magdalena;13;0.5225988700564972
354;Magdalena;30;0.5211267605633803
355;Magdalena;13;0.5196629213483146
356;Bernhard;21;0.5210084033613446
357;Bernhard;118;0.5223463687150838
358;Bernhard;39;0.5236768802228412
359;Magdalena;67;0.5222222222222223
360;Bernhard;13;0.5235457063711911
361;Magdalena;39;0.5220994475138122
362;Magdalena;54;0.5206611570247934
363;Bernhard;58;0.521978021978022
364;Magdalena;30;0.5205479452054794
365;Bernhard;52;0.5218579234972678
366;Bernhard;51;0.5231607629427792
367;Magdalena;11;0.5217391304347826
368;Magdalena;80;0.5203252032520326
369;Bernhard;32;0.5216216216216216
370;Bernhard;43;0.522911051212938
371;Bernhard;44;0.5241935483870968
372;Bernhard;49;0.5254691689008043
373;Bernhard;38;0.5267379679144385
374;Magdalena;26;0.5253333333333333
375;Bernhard;105;0.526595744680851
376;Bernhard;51;0.5278514588859416
377;Magdalena;37;0.5264550264550265
378;Magdalena;28;0.525065963060686
