;0
0;31
1;31
2;44
3;82
4;106
5;106
6;106
7;106
8;106
9;106
10;106
11;116
12;116
13;139
14;139
15;139
16;163
17;163
18;185
19;193
20;200
21;208
22;222
23;257
24;276
25;290
26;290
27;296
28;296
29;296
30;296
31;296
32;296
33;336
34;343
35;352
36;364
37;364
38;364
39;369
40;369
41;384
42;384
43;384
44;384
45;401
46;401
47;420
48;420
49;426
50;426
51;426
52;441
53;441
54;441
55;441
56;441
57;453
58;453
59;453
60;492
61;504
62;504
63;504
64;504
65;517
66;517
67;517
68;525
69;525
70;533
71;539
72;539
73;552
74;552
75;557
76;577
77;577
78;596
79;610
80;610
81;616
82;624
83;624
84;647
85;647
86;651
87;661
88;661
89;669
90;680
91;689
92;689
93;689
94;689
95;689
96;696
97;696
98;710
99;710
100;732
101;747
102;752
103;762
104;776
105;776
106;787
107;787
108;787
109;807
110;807
111;807
112;823
113;827
114;841
115;846
116;846
117;846
118;862
119;862
120;862
121;876
122;882
123;882
124;887
125;889
126;897
127;909
128;913
129;913
130;917
131;932
132;944
133;964
134;964
135;964
136;964
137;967
138;992
139;999
140;999
141;1002
142;1015
143;1035
144;1057
145;1057
146;1057
147;1073
148;1073
149;1073
150;1073
151;1073
152;1081
153;1090
154;1097
155;1097
156;1097
157;1105
158;1118
159;1118
160;1125
161;1131
162;1140
163;1140
164;1146
165;1146
166;1146
167;1146
168;1146
169;1146
170;1153
171;1156
172;1163
173;1163
174;1175
175;1175
176;1175
177;1185
178;1185
179;1185
180;1185
181;1194
182;1194
183;1200
184;1200
185;1200
186;1200
187;1200
188;1210
189;1210
190;1210
191;1210
192;1210
193;1210
194;1210
195;1210
196;1218
197;1218
198;1218
199;1218
200;1218
201;1218
202;1218
203;1225
204;1225
205;1234
206;1248
207;1248
208;1270
209;1274
210;1274
211;1274
212;1282
213;1282
214;1282
215;1282
216;1282
217;1282
218;1292
219;1294
220;1308
221;1308
222;1314
223;1322
224;1337
225;1337
226;1337
227;1341
228;1350
229;1356
230;1372
231;1389
232;1398
233;1403
234;1419
235;1419
236;1425
237;1425
238;1430
239;1438
240;1451
241;1457
242;1457
243;1457
244;1457
245;1457
246;1457
247;1459
248;1467
249;1474
250;1474
251;1479
252;1489
253;1494
254;1497
255;1502
256;1502
257;1503
258;1520
259;1520
260;1520
261;1526
262;1526
263;1542
264;1542
265;1542
266;1542
267;1542
268;1542
269;1542
270;1549
271;1549
272;1549
273;1549
274;1561
275;1565
276;1583
277;1583
278;1583
279;1589
280;1589
281;1594
282;1600
283;1612
284;1627
285;1627
286;1641
287;1641
288;1657
289;1670
290;1672
291;1682
292;1686
293;1691
294;1700
295;1712
296;1713
297;1721
298;1736
299;1736
300;1736
301;1743
302;1746
303;1746
304;1746
305;1753
306;1753
307;1753
308;1760
309;1760
310;1767
311;1767
312;1767
313;1767
314;1784
315;1784
316;1792
317;1792
318;1805
319;1805
320;1805
321;1837
322;1837
323;1847
324;1847
325;1852
326;1852
327;1852
328;1852
329;1855
330;1855
331;1875
332;1881
333;1881
334;1881
335;1889
336;1898
337;1901
338;1901
339;1916
340;1925
341;1925
342;1925
343;1925
344;1925
345;1939
346;1940
347;1947
348;1968
349;1968
350;1982
351;1982
352;1996
353;2003
354;2005
355;2005
356;2005
357;2009
358;2009
359;2018
360;2018
361;2018
362;2018
363;2018
364;2021
365;2033
366;2059
367;2059
368;2064
369;2073
370;2079
371;2079
372;2095
373;2102
374;2102
375;2102
376;2102
377;2104
378;2104
379;2104
380;2104
381;2111
382;2111
383;2111
384;2129
385;2129
386;2129
387;2138
388;2142
389;2142
390;2142
391;2142
392;2142
393;2142
394;2142
395;2142
396;2151
397;2151
398;2151
399;2151
400;2151
401;2160
402;2160
403;2165
404;2169
405;2173
406;2173
407;2173
408;2182
409;2189
410;2198
411;2198
412;2205
413;2205
414;2213
415;2213
416;2223
417;2223
418;2233
419;2243
420;2243
421;2256
422;2271
423;2275
424;2275
425;2275
426;2285
427;2285
428;2298
429;2298
430;2309
431;2323
432;2323
433;2334
434;2350
435;2350
436;2350
437;2357
438;2360
439;2368
440;2368
441;2368
442;2373
443;2388
444;2388
445;2392
446;2405
447;2409
448;2409
449;2414
450;2414
451;2419
452;2419
453;2419
454;2419
455;2423
456;2423
457;2423
458;2423
459;2423
460;2423
461;2432
462;2451
463;2451
464;2451
465;2476
466;2485
467;2495
468;2495
469;2500
470;2512
471;2512
472;2512
473;2520
474;2531
475;2537
476;2537
477;2540
478;2541
479;2558
480;2561
481;2578
482;2583
483;2595
484;2600
485;2602
486;2602
487;2602
488;2607
489;2607
490;2612
491;2612
492;2622
493;2640
494;2647
495;2653
496;2662
497;2662
498;2669
499;2669
500;2678
501;2693
502;2693
503;2697
504;2697
505;2697
506;2705
507;2715
508;2715
509;2715
510;2720
511;2726
512;2726
513;2726
514;2744
515;2744
516;2751
517;2751
518;2751
519;2751
520;2751
521;2754
522;2754
523;2771
524;2773
525;2773
526;2782
527;2782
528;2786
529;2786
530;2791
531;2791
532;2798
533;2798
534;2798
535;2798
536;2798
537;2802
538;2805
539;2805
540;2805
541;2805
542;2815
543;2815
544;2815
545;2815
546;2830
547;2834
548;2840
549;2846
550;2846
551;2869
552;2869
553;2869
554;2871
555;2899
556;2921
557;2921
558;2921
559;2930
560;2934
561;2934
562;2934
563;2934
564;2947
565;2947
566;2962
567;2969
568;2969
569;2976
570;2976
571;2981
572;2981
573;2981
574;2981
575;2981
576;2984
577;2987
578;2987
579;2994
580;2994
581;3015
582;3015
583;3015
584;3015
585;3015
586;3017
587;3017
588;3017
589;3022
590;3030
591;3030
592;3033
593;3033
594;3033
595;3059
596;3059
597;3072
598;3072
599;3080
600;3080
601;3080
602;3086
603;3086
604;3096
605;3101
606;3101
607;3101
608;3106
609;3106
610;3106
611;3106
612;3111
613;3115
614;3119
615;3124
616;3124
617;3129
618;3138
619;3148
620;3159
621;3159
622;3163
623;3179
624;3208
625;3212
626;3212
627;3218
628;3221
629;3231
630;3231
631;3231
632;3231
633;3241
634;3249
635;3252
636;3258
637;3258
638;3258
639;3264
640;3264
641;3264
642;3268
643;3277
644;3283
645;3283
646;3288
647;3294
648;3294
649;3294
650;3294
651;3294
652;3294
653;3299
654;3315
655;3322
656;3328
657;3328
658;3328
659;3339
660;3340
661;3340
662;3345
663;3350
664;3350
665;3350
666;3360
667;3360
668;3360
669;3371
670;3371
671;3371
672;3373
673;3373
674;3373
675;3379
676;3379
677;3379
678;3383
679;3383
680;3390
681;3395
682;3398
683;3400
684;3400
685;3406
686;3406
687;3409
688;3409
689;3414
690;3414
691;3418
692;3422
693;3422
694;3422
695;3422
696;3424
697;3424
698;3426
699;3426
700;3426
701;3431
702;3440
703;3440
704;3453
705;3453
706;3466
707;3475
708;3475
709;3487
710;3487
711;3494
712;3498
713;3503
714;3518
715;3538
716;3538
717;3538
718;3543
719;3554
720;3554
721;3569
722;3581
723;3581
724;3586
725;3600
726;3600
727;3600
728;3612
729;3626
730;3634
731;3637
732;3645
733;3649
734;3656
735;3660
736;3670
737;3670
738;3676
739;3676
740;3681
741;3685
742;3685
743;3698
744;3709
745;3709
746;3709
747;3709
748;3721
749;3721
750;3728
751;3744
752;3744
753;3755
754;3759
755;3759
756;3759
757;3771
758;3771
759;3775
760;3779
761;3784
762;3786
763;3788
764;3788
765;3788
766;3788
767;3789
768;3789
769;3792
770;3792
771;3796
772;3805
773;3811
774;3811
775;3815
776;3838
777;3845
778;3845
779;3847
780;3851
781;3851
782;3851
783;3858
784;3858
785;3858
786;3862
787;3862
788;3869
789;3870
790;3870
791;3888
792;3890
793;3890
794;3896
795;3899
796;3914
797;3921
798;3921
799;3921
800;3926
801;3926
802;3934
803;3944
804;3944
805;3944
806;3944
807;3944
808;3947
809;3959
810;3959
811;3959
812;3970
813;3970
814;3980
815;3984
816;3984
817;3987
818;4008
819;4008
820;4008
821;4008
822;4008
823;4011
824;4031
825;4035
826;4035
827;4035
828;4038
829;4038
830;4042
831;4042
832;4042
833;4042
834;4048
835;4048
836;4057
837;4061
838;4061
839;4061
840;4061
841;4065
842;4069
843;4074
844;4080
845;4088
846;4098
847;4107
848;4112
849;4120
850;4125
851;4125
852;4136
853;4136
854;4136
855;4136
856;4149
857;4149
858;4149
859;4150
860;4156
861;4169
862;4169
863;4173
864;4173
865;4177
866;4177
867;4189
868;4201
869;4201
870;4201
871;4212
872;4225
873;4225
874;4225
875;4225
876;4225
877;4225
878;4225
879;4233
880;4233
881;4233
882;4236
883;4239
884;4239
885;4239
886;4239
887;4239
888;4239
889;4239
890;4239
891;4245
892;4246
893;4246
894;4246
895;4250
896;4250
897;4253
898;4255
899;4255
900;4255
901;4263
902;4263
903;4263
904;4269
905;4269
906;4269
907;4272
908;4272
909;4276
910;4281
911;4281
912;4281
913;4285
914;4285
915;4286
916;4289
917;4289
918;4295
919;4295
920;4295
921;4295
922;4296
923;4297
924;4305
925;4305
926;4305
927;4312
928;4312
929;4312
930;4312
931;4312
932;4312
933;4312
934;4312
935;4317
936;4317
937;4317
938;4322
939;4322
940;4329
941;4329
942;4329
943;4333
