;Winner;Turns;Win_rate
0;Bernhard;95;1.0
1;Magdalena;35;0.5
2;Bernhard;27;0.6666666666666666
3;Bernhard;102;0.75
4;Bernhard;69;0.8
5;Magdalena;33;0.6666666666666666
6;Magdalena;40;0.5714285714285714
7;Magdalena;15;0.5
8;Magdalena;12;0.4444444444444444
9;Magdalena;37;0.4
10;Magdalena;38;0.36363636363636365
11;Bernhard;20;0.4166666666666667
12;Magdalena;32;0.38461538461538464
13;Bernhard;64;0.42857142857142855
14;Magdalena;42;0.4
15;Magdalena;27;0.375
16;Bernhard;77;0.4117647058823529
17;Magdalena;53;0.3888888888888889
18;Bernhard;59;0.42105263157894735
19;Bernhard;22;0.45
20;Bernhard;13;0.47619047619047616
21;Bernhard;16;0.5
22;Bernhard;33;0.5217391304347826
23;Bernhard;104;0.5416666666666666
24;Bernhard;53;0.56
25;Bernhard;38;0.5769230769230769
26;Magdalena;14;0.5555555555555556
27;Bernhard;16;0.5714285714285714
28;Magdalena;38;0.5517241379310345
29;Magdalena;19;0.5333333333333333
30;Magdalena;42;0.5161290322580645
31;Magdalena;17;0.5
32;Magdalena;38;0.48484848484848486
33;Bernhard;150;0.5
34;Bernhard;13;0.5142857142857142
35;Bernhard;22;0.5277777777777778
36;Bernhard;33;0.5405405405405406
37;Magdalena;57;0.5263157894736842
38;Magdalena;18;0.5128205128205128
39;Bernhard;16;0.525
40;Magdalena;64;0.5121951219512195
41;Bernhard;48;0.5238095238095238
42;Magdalena;50;0.5116279069767442
43;Magdalena;27;0.5
44;Magdalena;60;0.4888888888888889
45;Bernhard;52;0.5
46;Magdalena;60;0.48936170212765956
47;Bernhard;42;0.5
48;Magdalena;26;0.4897959183673469
49;Bernhard;18;0.5
50;Magdalena;36;0.49019607843137253
51;Magdalena;31;0.4807692307692308
52;Bernhard;47;0.49056603773584906
53;Magdalena;57;0.48148148148148145
54;Magdalena;16;0.4727272727272727
55;Magdalena;37;0.4642857142857143
56;Magdalena;56;0.45614035087719296
57;Bernhard;34;0.46551724137931033
58;Magdalena;24;0.4576271186440678
59;Magdalena;39;0.45
60;Bernhard;135;0.45901639344262296
61;Bernhard;30;0.46774193548387094
62;Magdalena;42;0.4603174603174603
63;Magdalena;17;0.453125
64;Magdalena;36;0.4461538461538462
65;Bernhard;48;0.45454545454545453
66;Magdalena;120;0.44776119402985076
67;Magdalena;59;0.4411764705882353
68;Bernhard;23;0.4492753623188406
69;Magdalena;11;0.44285714285714284
70;Bernhard;19;0.4507042253521127
71;Bernhard;16;0.4583333333333333
72;Magdalena;18;0.4520547945205479
73;Bernhard;56;0.4594594594594595
74;Magdalena;26;0.4533333333333333
75;Bernhard;12;0.4605263157894737
76;Bernhard;57;0.4675324675324675
77;Magdalena;37;0.46153846153846156
78;Bernhard;61;0.46835443037974683
79;Bernhard;44;0.475
80;Magdalena;62;0.4691358024691358
81;Bernhard;22;0.47560975609756095
82;Bernhard;29;0.4819277108433735
83;Magdalena;15;0.47619047619047616
84;Bernhard;59;0.4823529411764706
85;Magdalena;85;0.47674418604651164
86;Bernhard;15;0.4827586206896552
87;Bernhard;42;0.48863636363636365
88;Magdalena;12;0.48314606741573035
89;Bernhard;32;0.4888888888888889
90;Bernhard;51;0.4945054945054945
91;Bernhard;26;0.5
92;Magdalena;16;0.4946236559139785
93;Magdalena;16;0.48936170212765956
94;Magdalena;38;0.4842105263157895
95;Magdalena;65;0.4791666666666667
96;Bernhard;13;0.4845360824742268
97;Magdalena;49;0.47959183673469385
98;Bernhard;37;0.48484848484848486
99;Magdalena;25;0.48
100;Bernhard;63;0.48514851485148514
101;Bernhard;36;0.49019607843137253
102;Bernhard;25;0.49514563106796117
103;Bernhard;30;0.5
104;Bernhard;31;0.5047619047619047
105;Magdalena;17;0.5
106;Bernhard;29;0.5046728971962616
107;Magdalena;21;0.5
108;Magdalena;10;0.4954128440366973
109;Bernhard;70;0.5
110;Magdalena;22;0.4954954954954955
111;Magdalena;55;0.49107142857142855
112;Bernhard;45;0.49557522123893805
113;Bernhard;16;0.5
114;Bernhard;63;0.5043478260869565
115;Bernhard;26;0.5086206896551724
116;Magdalena;76;0.5042735042735043
117;Magdalena;19;0.5
118;Bernhard;61;0.5042016806722689
119;Magdalena;109;0.5
120;Magdalena;24;0.49586776859504134
121;Bernhard;54;0.5
122;Bernhard;13;0.5040650406504065
123;Magdalena;33;0.5
124;Bernhard;15;0.504
125;Bernhard;14;0.5079365079365079
126;Bernhard;33;0.5118110236220472
127;Bernhard;30;0.515625
128;Bernhard;9;0.5193798449612403
129;Magdalena;75;0.5153846153846153
130;Bernhard;21;0.5190839694656488
131;Bernhard;74;0.5227272727272727
132;Bernhard;41;0.5263157894736842
133;Bernhard;72;0.5298507462686567
134;Magdalena;26;0.5259259259259259
135;Magdalena;25;0.5220588235294118
136;Magdalena;114;0.5182481751824818
137;Bernhard;14;0.5217391304347826
138;Bernhard;61;0.5251798561151079
139;Bernhard;26;0.5285714285714286
140;Magdalena;22;0.524822695035461
141;Bernhard;16;0.528169014084507
142;Bernhard;35;0.5314685314685315
143;Bernhard;54;0.5347222222222222
144;Bernhard;73;0.5379310344827586
145;Magdalena;67;0.5342465753424658
146;Magdalena;28;0.5306122448979592
147;Bernhard;50;0.5337837837837838
148;Magdalena;22;0.5302013422818792
149;Magdalena;61;0.5266666666666666
150;Magdalena;28;0.5231788079470199
151;Magdalena;77;0.5197368421052632
152;Bernhard;19;0.5228758169934641
153;Bernhard;46;0.525974025974026
154;Bernhard;27;0.5290322580645161
155;Magdalena;33;0.5256410256410257
156;Magdalena;52;0.5222929936305732
157;Bernhard;28;0.5253164556962026
158;Bernhard;39;0.5283018867924528
159;Magdalena;19;0.525
160;Bernhard;19;0.5279503105590062
161;Bernhard;18;0.5308641975308642
162;Bernhard;35;0.5337423312883436
163;Magdalena;59;0.5304878048780488
164;Bernhard;15;0.5333333333333333
165;Magdalena;51;0.5301204819277109
166;Magdalena;38;0.5269461077844312
167;Magdalena;133;0.5238095238095238
168;Magdalena;72;0.5207100591715976
169;Magdalena;27;0.5176470588235295
170;Bernhard;37;0.52046783625731
171;Bernhard;24;0.5232558139534884
172;Bernhard;25;0.5260115606936416
173;Magdalena;53;0.5229885057471264
174;Bernhard;53;0.5257142857142857
175;Magdalena;51;0.5227272727272727
176;Magdalena;88;0.519774011299435
177;Bernhard;36;0.5224719101123596
178;Magdalena;14;0.5195530726256983
179;Magdalena;39;0.5166666666666667
180;Magdalena;44;0.5138121546961326
181;Bernhard;56;0.5164835164835165
182;Magdalena;54;0.5136612021857924
183;Bernhard;18;0.5163043478260869
184;Magdalena;44;0.5135135135135135
185;Magdalena;12;0.510752688172043
186;Magdalena;18;0.5080213903743316
187;Magdalena;173;0.5053191489361702
188;Bernhard;27;0.5079365079365079
189;Magdalena;47;0.5052631578947369
190;Magdalena;20;0.5026178010471204
191;Magdalena;103;0.5
192;Magdalena;20;0.49740932642487046
193;Magdalena;9;0.4948453608247423
194;Magdalena;44;0.49230769230769234
195;Magdalena;25;0.4897959183673469
196;Bernhard;31;0.49238578680203043
197;Magdalena;43;0.4898989898989899
198;Magdalena;58;0.48743718592964824
199;Magdalena;13;0.485
200;Magdalena;26;0.48258706467661694
201;Magdalena;15;0.4801980198019802
202;Magdalena;18;0.47783251231527096
203;Bernhard;20;0.4803921568627451
204;Magdalena;54;0.47804878048780486
205;Bernhard;28;0.48058252427184467
206;Bernhard;47;0.4830917874396135
207;Magdalena;61;0.4807692307692308
208;Bernhard;87;0.48325358851674644
209;Bernhard;16;0.4857142857142857
210;Magdalena;36;0.4834123222748815
211;Magdalena;23;0.4811320754716981
212;Bernhard;51;0.4835680751173709
213;Magdalena;21;0.48130841121495327
214;Magdalena;22;0.4790697674418605
215;Magdalena;43;0.47685185185185186
216;Magdalena;28;0.47465437788018433
217;Magdalena;35;0.4724770642201835
218;Bernhard;29;0.4748858447488584
219;Bernhard;10;0.4772727272727273
220;Bernhard;53;0.4796380090497738
221;Magdalena;31;0.4774774774774775
222;Bernhard;17;0.4798206278026906
223;Bernhard;42;0.48214285714285715
224;Bernhard;49;0.48444444444444446
225;Magdalena;17;0.4823008849557522
226;Magdalena;16;0.4801762114537445
227;Bernhard;16;0.4824561403508772
228;Bernhard;43;0.4847161572052402
229;Bernhard;16;0.48695652173913045
230;Bernhard;49;0.48917748917748916
231;Bernhard;52;0.49137931034482757
232;Bernhard;41;0.49356223175965663
233;Bernhard;20;0.49572649572649574
234;Bernhard;59;0.4978723404255319
235;Magdalena;33;0.4957627118644068
236;Bernhard;17;0.4978902953586498
237;Magdalena;69;0.4957983193277311
238;Bernhard;13;0.497907949790795
239;Bernhard;46;0.5
240;Bernhard;39;0.5020746887966805
241;Bernhard;14;0.5041322314049587
242;Magdalena;30;0.5020576131687243
243;Magdalena;123;0.5
244;Magdalena;28;0.49795918367346936
245;Magdalena;19;0.4959349593495935
246;Magdalena;60;0.4939271255060729
247;Bernhard;10;0.4959677419354839
248;Bernhard;25;0.4979919678714859
249;Bernhard;28;0.5
250;Magdalena;36;0.49800796812749004
251;Bernhard;36;0.5
252;Bernhard;27;0.5019762845849802
253;Bernhard;14;0.5039370078740157
254;Bernhard;13;0.5058823529411764
255;Bernhard;16;0.5078125
256;Magdalena;24;0.5058365758754864
257;Bernhard;14;0.5077519379844961
258;Bernhard;49;0.5096525096525096
259;Magdalena;23;0.5076923076923077
260;Magdalena;56;0.5057471264367817
261;Bernhard;30;0.5076335877862596
262;Magdalena;18;0.5057034220532319
263;Bernhard;62;0.5075757575757576
264;Magdalena;66;0.5056603773584906
265;Magdalena;57;0.5037593984962406
