;0
0;1
1;1
2;1
3;2
4;3
5;3
6;3
7;3
8;4
9;4
10;5
11;5
12;6
13;6
14;7
15;8
16;9
17;9
18;9
19;9
20;10
21;10
22;11
23;11
24;12
25;12
26;13
27;13
28;13
29;13
30;13
31;13
32;13
33;13
34;13
35;13
36;13
37;14
38;15
39;15
40;16
41;17
42;18
43;18
44;19
45;20
46;21
47;21
48;22
49;22
50;23
51;23
52;24
53;24
54;24
55;25
56;25
57;26
58;27
59;27
60;28
61;28
62;29
63;29
64;30
65;30
66;31
67;32
68;33
69;34
70;34
71;35
72;36
73;37
74;37
75;39
76;39
77;39
78;39
79;40
80;41
81;41
82;42
83;43
84;43
85;45
86;47
87;48
88;49
89;50
90;51
91;51
92;52
93;52
94;53
95;56
96;57
97;59
98;59
99;61
100;63
101;64
102;65
103;66
104;68
105;69
106;70
107;71
108;71
109;71
110;73
111;74
112;75
113;76
114;78
115;79
116;81
117;84
118;84
119;84
120;84
121;87
122;89
123;91
124;91
125;91
126;93
127;93
128;94
129;95
130;95
131;96
132;97
133;97
134;97
135;97
136;99
137;100
138;100
139;103
140;105
141;106
142;107
143;107
144;108
145;108
146;108
147;109
148;109
149;109
150;109
151;110
152;116
153;117
154;121
155;123
156;124
157;124
158;126
159;128
160;129
161;132
162;133
163;135
164;136
165;137
166;140
167;141
168;141
169;142
170;142
171;145
172;146
173;146
174;149
175;150
176;151
177;152
178;152
179;153
180;156
181;158
182;159
183;161
184;162
185;164
186;167
187;167
188;168
189;171
190;171
191;171
192;173
193;174
194;176
195;178
196;179
197;181
198;182
199;183
200;185
201;187
202;188
203;190
204;191
205;192
206;193
207;194
208;195
209;196
210;198
211;200
212;200
213;202
214;203
215;204
216;205
217;208
218;209
219;211
220;212
221;213
222;214
223;214
224;215
225;217
226;218
227;219
228;227
229;229
230;232
231;233
232;234
233;236
234;236
235;236
236;237
237;238
238;241
239;242
240;242
241;242
242;243
243;243
244;246
245;247
246;248
247;250
248;252
249;253
250;254
251;254
252;255
253;256
254;256
255;258
256;260
257;262
258;262
259;263
260;269
261;271
262;274
263;275
264;276
265;278
266;280
267;282
268;282
269;284
270;284
271;288
272;288
273;289
274;292
275;296
276;296
277;298
278;300
279;302
280;304
281;307
282;309
283;309
284;311
285;311
286;311
287;312
288;313
289;314
290;314
291;315
292;317
293;320
294;321
295;322
296;325
297;327
298;327
299;330
300;331
301;331
302;335
303;336
304;338
305;344
306;346
307;347
308;347
309;347
310;349
311;351
312;353
313;354
314;355
315;356
316;358
317;359
318;360
319;361
320;362
321;365
322;366
323;367
324;368
325;371
326;372
327;373
328;374
329;375
330;375
331;377
332;378
333;382
334;383
335;386
336;389
337;390
338;391
339;393
340;397
341;399
342;399
343;404
344;405
345;408
346;415
347;415
348;415
349;415
350;416
351;417
352;423
353;423
354;425
355;425
356;426
357;433
358;435
359;439
360;440
361;441
362;444
363;445
364;446
365;449
366;450
367;450
368;450
369;451
370;454
371;456
372;459
373;462
374;462
375;465
376;467
377;468
378;469
379;470
380;472
381;476
382;477
383;478
384;482
385;483
386;485
387;485
388;487
389;489
390;490
391;493
392;495
393;497
394;498
395;500
396;501
397;502
398;504
399;505
400;505
401;506
402;508
403;509
404;509
405;510
406;513
407;514
408;515
409;522
410;523
411;527
412;529
413;530
414;532
415;533
416;534
417;538
418;538
419;541
420;542
421;542
422;543
423;543
424;545
425;547
426;550
427;550
428;551
429;556
430;558
431;560
432;565
433;567
434;569
435;570
436;574
437;575
438;577
439;578
440;579
441;581
442;585
443;585
444;585
445;587
446;591
447;593
448;600
449;601
450;601
451;602
452;605
453;606
454;608
455;609
456;613
457;616
458;618
459;619
460;622
461;623
462;626
463;629
464;631
465;635
466;639
467;641
468;643
469;644
470;646
471;648
472;651
473;652
474;653
475;658
476;660
477;661
478;662
479;663
480;666
481;670
482;672
483;674
484;676
485;676
486;678
487;679
488;680
489;682
490;684
491;686
492;688
493;692
494;692
495;694
496;696
497;700
498;702
499;703
500;704
501;710
502;712
503;712
504;715
505;715
506;717
507;719
508;721
509;724
510;730
511;732
512;735
513;739
514;740
515;745
516;748
517;748
518;750
519;752
520;756
521;756
522;758
523;760
524;762
525;762
526;762
527;764
528;767
529;769
530;771
531;773
532;776
533;778
534;782
535;783
536;785
537;787
538;788
539;789
540;793
541;794
542;797
543;798
544;803
545;805
546;810
547;815
548;816
549;817
550;822
551;824
552;827
553;828
554;834
555;835
556;837
557;838
558;840
559;842
560;843
561;845
562;847
563;849
564;852
565;856
566;857
567;857
568;860
569;864
570;864
571;866
572;867
573;871
574;873
575;874
576;875
577;878
578;878
579;880
580;885
581;887
582;888
583;889
584;896
585;897
586;898
587;899
588;900
589;907
590;908
591;908
592;909
593;910
594;912
595;914
596;915
597;922
598;923
599;923
600;925
601;926
602;932
603;933
604;935
605;938
606;942
607;944
608;945
609;947
610;949
611;953
612;953
613;957
614;960
615;962
616;964
617;966
618;969
619;972
620;974
621;975
622;976
623;981
624;982
625;986
626;991
627;992
628;994
629;998
630;1000
631;1002
632;1003
633;1005
634;1006
635;1008
636;1011
637;1012
638;1014
639;1018
640;1019
641;1022
642;1024
643;1026
644;1028
645;1028
646;1032
647;1034
648;1036
649;1039
650;1040
651;1042
652;1044
653;1047
654;1048
655;1051
656;1053
657;1057
658;1058
659;1062
660;1064
661;1066
662;1069
663;1071
664;1074
665;1078
666;1082
667;1083
668;1085
669;1088
670;1090
671;1092
672;1097
673;1100
674;1103
675;1105
676;1107
677;1109
678;1113
679;1113
680;1114
681;1118
682;1119
683;1120
684;1121
685;1126
686;1128
687;1128
688;1130
689;1132
690;1134
691;1137
692;1138
693;1142
694;1144
695;1146
696;1148
697;1150
698;1150
699;1152
700;1157
701;1158
702;1160
703;1161
704;1164
705;1174
706;1177
707;1179
708;1179
709;1180
710;1182
711;1184
712;1186
713;1189
714;1192
715;1196
716;1199
717;1201
718;1203
719;1206
720;1206
721;1207
722;1208
723;1209
724;1212
725;1215
726;1218
727;1221
728;1222
729;1225
730;1226
731;1230
732;1231
733;1232
734;1234
735;1237
736;1237
737;1238
738;1241
739;1243
740;1246
741;1248
742;1253
743;1253
744;1255
745;1257
746;1259
747;1261
748;1263
749;1264
750;1265
751;1267
752;1274
753;1275
754;1280
755;1284
756;1290
757;1295
758;1297
759;1299
760;1301
761;1302
762;1303
763;1304
764;1308
765;1308
766;1310
767;1311
768;1313
769;1316
770;1317
771;1318
772;1319
773;1322
774;1325
775;1326
