winner,turns,win_rate
Bernhard,13,1.0
Magdalena,63,0.5
Bernhard,35,0.6666666666666666
Magdalena,33,0.5
Magdalena,126,0.4
Magdalena,81,0.3333333333333333
Bernhard,63,0.42857142857142855
Bernhard,76,0.5
Magdalena,50,0.4444444444444444
Bernhard,58,0.5
Magdalena,36,0.45454545454545453
Bernhard,74,0.5
Bernhard,21,0.5384615384615384
Magdalena,17,0.5
Bernhard,79,0.5333333333333333
Bernhard,48,0.5625
Magdalena,14,0.5294117647058824
Bernhard,58,0.5555555555555556
Magdalena,20,0.5263157894736842
Magdalena,27,0.5
Bernhard,17,0.5238095238095238
Bernhard,32,0.5454545454545454
Magdalena,158,0.5217391304347826
Bernhard,34,0.5416666666666666
Magdalena,34,0.52
Magdalena,13,0.5
Magdalena,30,0.48148148148148145
Magdalena,13,0.4642857142857143
Bernhard,37,0.4827586206896552
Bernhard,36,0.5
Bernhard,29,0.5161290322580645
Bernhard,48,0.53125
Bernhard,43,0.5454545454545454
Bernhard,28,0.5588235294117647
Magdalena,82,0.5428571428571428
Magdalena,43,0.5277777777777778
Bernhard,25,0.5405405405405406
Magdalena,25,0.5263157894736842
Bernhard,27,0.5384615384615384
Magdalena,15,0.525
Bernhard,83,0.5365853658536586
Bernhard,22,0.5476190476190477
Bernhard,25,0.5581395348837209
Magdalena,9,0.5454545454545454
Bernhard,31,0.5555555555555556
Magdalena,63,0.5434782608695652
Magdalena,34,0.5319148936170213
Bernhard,27,0.5416666666666666
Magdalena,24,0.5306122448979592
Magdalena,31,0.52
Bernhard,21,0.5294117647058824
Magdalena,71,0.5192307692307693
Magdalena,46,0.5094339622641509
Magdalena,53,0.5
Magdalena,30,0.4909090909090909
Bernhard,22,0.5
Magdalena,70,0.49122807017543857
Bernhard,34,0.5
Bernhard,25,0.5084745762711864
Magdalena,65,0.5
Magdalena,38,0.4918032786885246
Bernhard,16,0.5
Bernhard,21,0.5079365079365079
Magdalena,21,0.5
Bernhard,23,0.5076923076923077
Magdalena,23,0.5
Bernhard,34,0.5074626865671642
Bernhard,38,0.5147058823529411
Bernhard,27,0.5217391304347826
Bernhard,14,0.5285714285714286
Magdalena,98,0.5211267605633803
Bernhard,24,0.5277777777777778
Bernhard,21,0.5342465753424658
Bernhard,30,0.5405405405405406
Bernhard,25,0.5466666666666666
Bernhard,14,0.5526315789473685
Magdalena,28,0.5454545454545454
Magdalena,19,0.5384615384615384
Bernhard,19,0.5443037974683544
Bernhard,70,0.55
Bernhard,41,0.5555555555555556
Magdalena,29,0.5487804878048781
Magdalena,22,0.5421686746987951
Bernhard,34,0.5476190476190477
Magdalena,48,0.5411764705882353
Magdalena,21,0.5348837209302325
Magdalena,26,0.5287356321839081
Magdalena,15,0.5227272727272727
Magdalena,68,0.5168539325842697
Magdalena,27,0.5111111111111111
Magdalena,48,0.5054945054945055
Magdalena,27,0.5
Magdalena,60,0.4946236559139785
Magdalena,37,0.48936170212765956
Bernhard,81,0.49473684210526314
Bernhard,78,0.5
Bernhard,49,0.5051546391752577
Bernhard,14,0.5102040816326531
Magdalena,24,0.5050505050505051
Magdalena,17,0.5
